sponsor_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
Sheila C. Harrington,public,children,commonwealth,insurance,housing,veterans,protecting,school,state,education
Lindsay N. Sabadosa,health,public,access,care,commonwealth,education,covid,services,promote,safety
Mathew J. Muratore,care,health,public,commonwealth,access,education,safety,services,program,state
Michael J. Soter,public,safety,veterans,service,commonwealth,school,benefits,education,protecting,emergency
Brian W. Murray,health,public,care,education,access,commonwealth,services,insurance,program,disabilities
Jeffrey N. Roy,education,access,commonwealth,public,school,care,health,protecting,promoting,service
Colleen M. Garry,public,health,safety,access,commonwealth,care,education,children,services,school
Brian M. Ashe,health,public,care,access,commonwealth,safety,program,education,protect,services
Bradley H. Jones Jr.,public,commonwealth,access,study,health,safety,state,care,protect,housing
Timothy R. Whelan,safety,police,public,officers,school,veterans,state,benefits,emergency,health
David Allen Robertson,public,health,safety,commonwealth,care,emergency,veterans,covid,access,state
Jay D. Livingstone,health,public,commonwealth,access,protect,education,care,safety,housing,promoting
Carlos GonzÂ¨Â¢lez,public,health,access,commonwealth,education,care,safety,housing,promote,services
Susan Williams Gifford,public,commonwealth,housing,school,town,insurance,health,program,care,safety
Paul K. Frost,public,commonwealth,housing,state,protecting,children,town,offenders,rights,service
Steven S. Howitt,public,commonwealth,safety,state,insurance,education,credit,promote,care,health
Michael J. Barrett,health,public,access,town,commonwealth,education,care,promote,disabilities,services
Jason M. Lewis,health,access,public,care,commonwealth,education,protect,promote,services,promoting
Michael O. Moore,public,health,care,safety,access,education,commonwealth,services,promote,program
Kenneth I. Gordon,health,care,access,services,public,education,commonwealth,protect,safety,insurance
Kate Lipper-Garabedian,public,access,health,care,covid,commonwealth,education,program,schools,promote
Jonathan D. Zlotnik,health,public,services,access,school,education,safety,veterans,state,commonwealth
Kip A. Diggs,care,program,promote,public,barnstable,state,health,retirement,service,covid
Adam J. Scanlon,public,health,education,commonwealth,services,covid,veterans,program,school,emergency
David Paul Linsky,health,access,commonwealth,care,public,education,services,protect,disabilities,town
Jacob R. Oliveira,public,care,education,access,health,services,commonwealth,promote,program,school
Dylan A. Fernandes,public,town,nantucket,access,health,care,commonwealth,protect,education,promote
F. Jay Barrows,public,commonwealth,housing,safety,children,insurance,school,town,health,state
Mary S. Keefe,health,public,commonwealth,education,access,care,protect,promote,promoting,safety
Nika C. Elugardo,covid,health,public,commonwealth,housing,emergency,education,access,care,during
Walter F. Timilty,health,public,care,town,access,commonwealth,education,safety,services,emergency
Natalie M. Higgins,health,public,access,care,commonwealth,education,housing,promote,safety,services
Adam G. Hinds,town,public,commonwealth,education,access,health,program,promoting,department,housing
Joanne M. Comerford,health,public,access,commonwealth,care,education,town,promote,program,promoting
Kay Khan,health,care,access,public,education,commonwealth,children,services,program,safety
Rebecca L. Rausch,health,public,access,care,education,commonwealth,services,promote,safety,program
Elizabeth A. Malia,health,access,public,services,care,education,commonwealth,program,promote,housing
Christopher Hendricks,public,covid,health,education,benefits,emergency,workers,care,promote,transparency
Antonio F. D. Cabral,public,promote,education,health,access,commonwealth,care,insurance,protect,safety
Michelle L. Ciccolo,public,access,health,covid,commonwealth,education,promote,municipal,care,program
Tommy Vitolo,public,access,health,commonwealth,care,education,program,promote,protect,safety
Tami L. Gouveia,public,health,care,commonwealth,covid,access,state,emergency,education,promoting
John J. Cronin,health,town,public,education,care,promote,access,program,commonwealth,retirement
Diana DiZoglio,health,public,education,safety,care,access,commonwealth,program,promote,housing
Jack Patrick Lewis,health,public,care,access,commonwealth,education,promote,housing,safety,promoting
Angelo J. Puppolo Jr.,care,health,public,safety,services,education,access,commonwealth,benefits,retirement
Maria Duaime Robinson,public,health,covid,commonwealth,emergency,education,access,energy,safety,care
David Henry Argosky LeBoeuf,public,health,access,commonwealth,safety,education,care,promote,protect,covid
Kimberly N. Ferguson,health,public,commonwealth,children,education,access,school,services,state,program
Adam Gomez,public,access,health,rights,housing,education,promote,program,commonwealth,credit
Steven G. Xiarhos,veterans,public,safety,officers,police,benefits,covid,commonwealth,health,program
Shawn Dooley,public,safety,school,police,town,marijuana,commonwealth,veterans,requiring,state
David T. Vieira,public,commonwealth,health,town,safety,education,fund,state,access,police
Joseph W. McGonagle Jr.,care,health,public,education,access,commonwealth,services,safety,housing,veterans
Susan L. Moran,access,public,health,town,care,commonwealth,safety,program,services,benefits
Kelly W. Pease,public,education,school,safety,protecting,access,veterans,financial,covid,hunting
Norman J. Orrall,agricultural,commonwealth,access,town,promote,middleborough,safety,land,program,taunton
Ryan C. Fattman,town,public,commonwealth,health,safety,state,retirement,food,school,department
Hannah Kane,health,public,access,care,persons,commonwealth,disabilities,education,program,food
Paul F. Tucker,public,education,safety,care,access,higher,salem,covid,state,police
Patrick M. O'Connor,health,public,care,access,commonwealth,safety,education,services,program,protecting
Andres X. Vargas,access,public,education,health,promote,care,safety,promoting,student,establish
James J. O'Day,health,care,public,commonwealth,education,access,services,promote,protect,program
Bud L. Williams,public,health,access,commonwealth,education,covid,housing,care,establish,program
Donald R. Berthiaume Jr.,veterans,police,public,town,state,marijuana,officers,commonwealth,school,safety
Angelo L. D'Emilia,public,commonwealth,care,safety,education,children,police,health,services,access
